CALL_APP_VIA_DJANGO,CALL_APP_DIRECTLY
3.5096592,2.0437601
3.076733,2.032121
2.062097,1.9959441
2.087576,2.0219469
2.082982,2.0728071
2.0813009,2.0543809
2.081434,2.040885
2.0700979,2.058438
2.0592389,2.0202589
2.1242571,2.0281401
2.1893129,2.041974
2.170212,2.0568249
2.0799401,2.1198079
2.250334,2.1306579
2.206765,2.3463039
3.152842,2.082076
2.077677,2.10886
2.08746,2.043353
2.072208,2.126368
2.0743129,2.073538
2.057961,2.041966
2.097081,2.103513
2.0651528,2.130446
2.0979372,2.0648369
2.073899,2.0388329
2.093207,2.010036
2.1327218,2.0474729
2.302206,2.053277
3.1712312,2.0433159
2.1091399,2.0278299
2.0962751,2.117563
2.0346911,2.191282
2.140491,2.052226
2.0870619,2.11243
2.117373,2.077101
2.111437,2.042534
2.111063,2.0739281
2.0900568,2.0517299
2.082696,2.0129621
1.962011,2.0410231
1.9871649,2.0248139
2.189835,2.073493
4.547638,2.0322981
2.0252931,2.0687589
1.987846,2.030117
2.1089001,2.0841451
2.057168,2.059224
2.010752,2.1730621
2.085454,2.0789102
2.045289,2.063581
2.1235189,2.016408
2.090626,2.0430939
1.998451,2.080771
2.0128159,2.046762
2.112776,2.061348
2.18154,2.0565951
2.042671,2.0471188
2.1107289,2.0329449
2.0903361,2.04115
2.081887,2.0605049
2.1139209,2.074548
2.022765,2.0633149
2.046623,2.0637318
2.016331,2.224602
2.0325771,2.1598461
2.09838,2.0713949
2.0613849,2.028952
2.100834,2.093436
2.073431,2.091697
2.0380959,2.073981
2.35924,2.1033399
3.1484872,2.1234219
2.052985,2.1062219
2.0454831,2.083318
2.0473461,2.0456009
2.039412,2.109055
2.048593,2.03162
2.071172,2.03216
2.0035951,2.0180531
2.0525739,2.0302
2.0370989,2.0440409
2.1462318,2.578084
2.1216431,2.1301031
2.1396811,2.1159911
2.0848961,2.066179
2.1681161,2.132388
3.141653,2.084322
2.106489,2.130954
2.115418,2.038753
2.0549619,2.069921
2.089498,2.0605358
1.997303,2.1169409
2.081656,2.136373
2.182405,2.095745
2.066936,2.0245631
2.091451,2.046479
2.1225491,2.027386
2.061522,2.179536
2.026386,2.072709
2.157995,2.1395619
3.143309,2.113591
2.028251,2.197599
2.097989,2.189589
2.0013559,2.050145
1.9987139,2.015663
2.048802,2.028031
2.08307,2.037162
1.99619,2.056299
2.1118331,2.0326729
2.039812,2.0619741
2.030956,2.1249771
2.033195,2.1022639
2.08233,2.0248279
2.205905,2.1191499
2.035487,2.388402
2.0286739,2.266272
2.0359659,2.217547
2.0610312,2.074868
2.088801,2.625776
2.018713,2.187458
2.065829,2.117384
2.104568,2.049874
2.0292202,2.119462
2.050071,2.0346689
2.116986,2.0457749
2.007753,2.010226
2.017713,2.025542
2.1164851,2.0582458
2.128905,2.037191
2.0902482,2.038114
2.0516971,2.0571908
2.0406511,2.0436311
2.0395729,2.0370431
2.059677,2.064518
2.0547768,2.0152012
2.03137,2.454758
2.1127911,2.10845
2.018578,2.00635
2.034481,2.0275441
2.0214769,2.029852
2.0298031,2.067744
2.0313399,2.0889089
2.2890511,2.075356
2.1398589,2.0774701
2.0593259,2.15736
2.051588,2.1492259
2.1516089,2.172118
2.0672259,2.0139721
2.0174551,2.021112
2.038333,2.040087
2.063678,2.020345
2.042985,2.044553
2.1048109,2.3938401
2.059141,2.029877
2.0412171,2.0251492
2.062104,1.9109531
2.045376,1.971027
2.036086,1.9553569
2.255871,2.007261
3.167387,2.044725
2.0390229,1.958655
2.056655,2.026374
2.047259,2.027257
2.0306161,2.0225939
2.0828371,2.017843
